id,name,description,price,category,url,image_url,availability,last_updated,in_stock,extraction_method
darwin_0114,Apple iPhone 15,"iPhone 15 - tehnologie și performanță într-un nou dispozitiv
Descoperă lumea uimitoare a tehnologiei Apple cu noul iPhone 15 și bucură-te de o experiență digitală de neuitat.
Perfecțiunea în tehnologie se întâlnește cu un design modern și elegant la iPhone 15. Cu un ecran OLED de înaltă rezoluție, un sistem avansat de cameră și performanțe superioare, acest smartphone îți va depăși toate așteptările.",504 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/apple-iphone-15,,"Apple iPhone 15 256 GB Black
6.1"" | 48 MP | 6 GB | Single SIM
Cashback 504 lei
16 799 lei
-3%
-500 lei
16 299 lei",,False,seleniumbase
darwin_0120,Samsung Galaxy S24,Nu există descriere disponibilă,453 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/samsung-galaxy-s-24,,"Samsung Galaxy S24 256 GB Black Onyx
6.2"" | 50 MP | 8 GB | Dual SIM
Cashback 453 lei
15 099 lei",,False,seleniumbase
darwin_0121,Apple Watch Series 9 & Ultra 2,Nu există descriere disponibilă,255 MDL,Ceasuri Inteligente,https://darwin.md/gadgets/ceasuri-inteligente/apple-watch-series-9-si-ultra-2,,"Ceas inteligent Apple Watch Series 9 Midnight
1.9"" | 45 mm | Aluminiu/ Silicon | MR9A3QR/ A
Cashback 255 lei
8 499 lei",,False,seleniumbase
darwin_0123,MacBook Air 15 2024,Nu există descriere disponibilă,750 MDL,Laptop-Uri,https://darwin.md/laptopuri/macbook-air-15-2024,,"Laptop Apple MacBook Air 15 2024 Midnight
15.3"" | 16 GB | 512 GB | Apple M3 (C8/G10) | VGA Integrată
Cashback 750 lei
24 990 lei",,False,seleniumbase
darwin_0125,Macbook Air 2024,Nu există descriere disponibilă,768 MDL,Laptop-Uri,https://darwin.md/laptopuri/macbook-air-2024,,"Laptop Apple MacBook Air 13.6 2024 Midnight
13.6"" | 8 GB | 256 GB | Apple M3 (C8/G8) | VGA Integrată
Cashback 768 lei
25 590 lei",,False,seleniumbase
darwin_0126,MacBook Air 13 2024,Nu există descriere disponibilă,768 MDL,Laptop-Uri,https://darwin.md/laptopuri/macbook-air-13-2024,,"Laptop Apple MacBook Air 13.6 2024 Midnight
13.6"" | 8 GB | 256 GB | Apple M3 (C8/G8) | VGA Integrată
Cashback 768 lei
25 590 lei",,False,seleniumbase
darwin_0130,iPad Air 2024,Nu există descriere disponibilă,660 MDL,Tablete,https://darwin.md/tablete/ipad-air-2024,,"Tabletă Apple iPad Air 2024 11"" Wi-Fi Gray
8 GB | 512 GB | 12 MP | MUWL3NF/A
Cashback 660 lei
21 999 lei
-7%
-1 500 lei
20 499 lei",,False,seleniumbase
darwin_0134,Galaxy Fold 6 & Flip 6,Nu există descriere disponibilă,008 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/fold-6-i-flip-6,,"Samsung Galaxy Fold 6 256 GB Silver Shadow
7.6"" | 50 MP | 12 GB | Single SIM
Cashback 1 008 lei
33 599 lei",,False,seleniumbase
darwin_0138,Vivobook S 15 & S 16 OLED,Nu există descriere disponibilă,540 MDL,Laptop-Uri,https://darwin.md/laptopuri/vivobook-s-15-16,,"Laptop Asus VivoBook S 15 OLED K3502ZA Indie Black
15.6"" | 16 GB | 512 GB | Intel Core i5 12500H | VGA Integrată
Cashback 540 lei
17 990 lei",,False,seleniumbase
darwin_0141,Lenovo IdeaPad 3 si IdeaPad Slim 3,Nu există descriere disponibilă,321 MDL,Laptop-Uri,https://darwin.md/laptopuri/ideapad-3-si-slim-3,,"Laptop Lenovo IdeaPad 3 15ALC6 Arctic Gray
15.6"" | 8 GB | 256 GB | AMD Ryzen 3 5300U | VGA Integrată
Cashback 321 lei
10 690 lei",,False,seleniumbase
darwin_0146,Asus Vivobook Go 14 & 15,Nu există descriere disponibilă,255 MDL,Laptop-Uri,https://darwin.md/laptopuri/vivobook-go-14-15,,"Laptop Asus Vivobook Go 15 E1504FA Cool Silver
15.6"" | 8 GB | 512 GB | AMD Ryzen 5 7520U | VGA Integrată
Cashback 255 lei
8 490 lei",,False,seleniumbase
darwin_0147,iPad Pro 2024,Nu există descriere disponibilă,494 MDL,Tablete,https://darwin.md/tablete/ipad-pro-2024,,"Tabletă Apple iPad Pro 2024 11"" Wi-Fi Black
16 GB | 2 TB | 12 MP | MVVG3NF/ A
Cashback 1 494 lei
49 790 lei",,False,seleniumbase
darwin_0154,EA Sports FC 25,Nu există descriere disponibilă,60 MDL,Jocuri,https://darwin.md/gaming/jocuri/ea-sports-fc-25,,"FC 25 Xbox Series X
Sport / 3+
Cashback 60 lei
1 999 lei",,False,seleniumbase
darwin_0157,Apple Watch Series 10,Nu există descriere disponibilă,295 MDL,Ceasuri Inteligente,https://darwin.md/gadgets/ceasuri-inteligente/apple-watch-series-10,,"Ceas inteligent Apple Watch Series 10 Jet Black
| 42 mm | Aluminiu/ Silicon | MWWE3QI/ A
Cashback 295 lei
9 849 lei
-17%
-1 650 lei
8 199 lei",,False,seleniumbase
darwin_0158,iPhone 16,Nu există descriere disponibilă,735 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/iphone-16,,"Apple iPhone 16 512 GB Black
6.1"" | 48 MP | 8 GB | Single SIM
Cashback 735 lei
24 499 lei",,False,seleniumbase
darwin_0162,Tablete Apple iPad Mini 2024,Nu există descriere disponibilă,375 MDL,Tablete,https://darwin.md/tablete/apple-ipad-mini-2024,,"Tabletă Apple iPad mini 2024 8.3"" Wi-Fi Starlight
8 GB |128 GB | 12 MP | MXN83NF/A
Cashback 375 lei
12 490 lei
-9%
-1 000 lei
11 490 lei",,False,seleniumbase
darwin_0165,Apple iMac 2024,Nu există descriere disponibilă,359 MDL,All In One Pc,https://darwin.md/calculatoare/all-in-one-pc/apple-imac-2024,,"All-in-One PC Apple iMac 2024 Blue
24"" 4.5K Retina Apple M4 24 GB 512 GB
Cashback 1 359 lei
47 999 lei
-6%
-2 700 lei
45 299 lei",,False,seleniumbase
darwin_0172,Lenovo IdeaPad Slim 3 și IdeaPad Slim 5,Nu există descriere disponibilă,180 MDL,Laptop-Uri,https://darwin.md/laptopuri/ideapad-slim-3-si-ideapad-slim-5,,"Laptop Lenovo IdeaPad Slim 3 15AMN8 Artic Gray
15.6"" | 8 GB | 256 GB | AMD Athlon Gold 7220U | VGA Integrată
Cashback 180 lei
5 990 lei",,False,seleniumbase
darwin_0173,MacBook Air 13.6 2025,Nu există descriere disponibilă,930 MDL,Laptop-Uri,https://darwin.md/laptopuri/macbook-air-13-6-2025,,"Laptop Apple MacBook Air 13.6 2025 Sky Blue
13.6"" | 24 GB | 512 GB | Apple M4 10C/10G | VGA Integrată
Cashback 930 lei
30 990 lei
-4%
-1 000 lei
29 990 lei",,False,seleniumbase
darwin_0175,MacBook Air 15 2025,Nu există descriere disponibilă,080 MDL,Laptop-Uri,https://darwin.md/laptopuri/macbook-air-15-2025,,"Laptop Apple MacBook Air 15 2025 Midnight
15.3"" | 24 GB | 512 GB | Apple M4 10C/10G | VGA Integrată
Cashback 1 080 lei
35 990 lei
-3%
-1 000 lei
34 990 lei",,False,seleniumbase
darwin_0180,Console gaming Nintendo Switch 2,Nu există descriere disponibilă,390 MDL,Console,https://darwin.md/gaming/console/nintendo-switch-2,,"Consolă portabilă pentru jocuri Nintendo Switch 2 Black
256 GB, RAM 12 GB
Cashback 390 lei
12 999 lei",,False,seleniumbase
darwin_0184,Apple iPad 2025,Nu există descriere disponibilă,321 MDL,Tablete,https://darwin.md/tablete/apple-ipad-2025,,"Tabletă Apple iPad 2025 11"" Wi-Fi Silver
6 GB | 256 GB | 12 MP | MD4G4TY/A
Cashback 321 lei
10 699 lei",,False,seleniumbase
darwin_0199,Samsung Galaxy Fold 7 & Flip 7,Nu există descriere disponibilă,263 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/samsung-galaxy-flip-7-galaxy-fold-7,,"Samsung Galaxy Fold 7 1 TB Blue Shadow
8.0"" | 200 MP | 16 GB | Dual SIM
Cashback 1 263 lei
42 099 lei",,False,seleniumbase
